Financial Instrument,Last,Volume,Bid,Ask,
SOXS,1.76,643912300.00,1.76,1.77,
OLB,1.23,358463100.00,1.22,1.23,
ZSL,2.73,137210300.00,2.73,2.74,
GXAI,1.43,86693400.00,1.43,1.44,
RIME,3.04,74084000.00,3.02,3.05,
GVH,1.34,63774100.00,1.34,1.35,
TZA,6.12,60045000.00,6.12,6.13,
MSTX,2.34,53336900.00,2.33,2.34,
DUST,4.74,53016500.00,4.72,4.73,
TSLS,5.54,51820300.00,5.53,5.54,
CHOW,0.7192,49921600.00,0.7182,0.7227,
RIG,6.14,49160800.00,6.13,6.14,
PLUG,1.85,48250400.00,1.84,1.85,
PLYX,4.18,46571000.00,4.18,4.19,
UVIX,6.18,43285000.00,6.17,6.18,
BMNU,2.12,40439800.00,2.12,2.13,
OCUL,6.96,39218900.00,6.95,6.96,
BDMD,1.21,38795900.00,1.20,1.21,
NVD,6.97,37394100.00,6.97,6.98,
SNAP,4.74,35715300.00,4.73,4.74,
AMC,1.25,34251000.00,1.24,1.25,
TSLG,7.48,32655200.00,7.48,7.49,
OBAI,3.34,31401300.00,3.32,3.33,
CMPS,7.91,28789600.00,7.91,7.93,
JDST,1.66,27971000.00,1.66,1.67,
BBAI,4.00,27904400.00,4.00,4.01,
DVLT,0.7610,27794500.00,0.7610,0.7611,
BBD,3.90,27179000.00,3.89,3.90,
DNN,3.77,27400500.00,3.77,3.78,
NOK,7.29,25340600.00,7.29,7.30,
MARA,7.55,25183900.00,7.54,7.55,
ATOM,5.75,24946700.00,5.68,5.70,
MSTU,5.08,24043100.00,5.07,5.08,
CONL,7.22,21280500.00,7.21,7.22,
LFS,3.52,20865400.00,3.49,3.52,
LYG,5.69,19274900.00,5.68,5.69,
MUD,3.88,18947200.00,3.87,3.88,
NIO,4.95,18820600.00,4.94,4.95,
OPEN,4.35,18793400.00,4.34,4.35,
ACHR,6.82,18467600.00,6.81,6.82,
FFAI,0.5562,18385200.00,0.5562,0.5563,
GRAB,4.22,18095800.00,4.21,4.22,
BTG,5.27,17572700.00,5.26,5.27,
BITF,2.06,17226000.00,2.06,2.07,
BTBT,1.70,16731400.00,1.70,1.71,
HIMZ,1.25,15494800.00,1.24,1.25,
CRWG,3.91,14881600.00,3.93,3.94,
SOLT,2.61,13887800.00,2.61,2.62,
BTE,3.42,13699900.00,3.41,3.42,
RR,2.77,13232800.00,2.76,2.77,
