Financial Instrument,Change %,Last,Volume,Bid,Ask,
OLB,1.963141411708022,1.23,357599100.00,1.22,1.24,
PLYX,0.7427385892116183,4.20,46541900.00,4.19,4.23,
BDMD,0.5454545454545453,1.19,38739700.00,1.21,1.22,
LFS,0.45041322314049603,3.51,20852000.00,3.51,3.53,
ATOM,0.4464285714285713,5.67,24896300.00,5.65,5.67,
GVH,0.4560469412148213,1.34,63745200.00,1.33,1.34,
IBG,0.3980099502487561,5.62,226400.0,5.55,5.66,
GXAI,0.38571428571428573,1.46,86690000.00,1.45,1.46,
CMPS,0.36660929432013767,7.94,28761300.00,7.89,7.95,
SOPA,0.3269070735090151,0.9567,4265400.0,0.9570,0.9600,
BDRX,0.3240740740740741,1.43,456700.0,1.38,1.42,
FJET,0.23242187500000008,6.31,1149100.0,6.25,6.30,
VVPR,0.21327014218009463,2.56,3393400.0,2.54,2.60,
MGLD,0.22058823529411772,1.25,187300.0,1.24,1.25,
SUNE,0.21463414634146336,2.49,12050700.00,2.46,2.52,
CBUS,0.208695652173913,2.78,860900.0,2.76,2.79,
NAUT,0.1963470319634704,2.62,504500.0,2.61,2.64,
VHUB,0.1844262295081968,2.89,5355800.0,2.87,2.90,
DHX,0.18750000000000008,2.85,789800.0,2.82,2.87,
SNES,0.17500000000000004,2.35,138600.0,2.33,2.37,
LU,0.1598513011152417,3.12,3943300.0,3.12,3.13,
CHOW,0.15627009646302262,0.7192,49921000.00,0.7182,0.7227,
ALLO,0.14444444444444446,2.06,5274100.0,2.06,2.07,
LRHC,0.13385826771653556,1.44,638200.0,1.42,1.46,
ELUT,0.12380952380952391,1.18,288800.0,1.20,1.21,
YCBD,0.13533941814033082,0.7961,535200.0,0.7900,0.8023,
HUMA,0.13366336633663367,1.15,5074700.0,1.14,1.15,
BZAI,0.13135593220338965,1.33,1866100.0,1.33,1.34,
DBGI,0.1377870563674322,5.45,1374400.0,5.42,5.44,
HELP,0.1215106732348112,6.83,818300.0,6.77,6.84,
ECOR,0.10497237569060779,6.00,125000.0,6.00,6.13,
UP,0.11498098859315588,0.7331,1553200.0,0.7299,0.7368,
BFRG,0.10843111690569318,0.5101,567000.0,0.5100,0.5176,
GTEC,0.0843373493975903,0.9000,115800.0,0.9000,0.9236,
GMM,0.1531531531531531,1.28,2762400.0,1.20,1.31,
SNTG,0.11386138613861385,2.25,249600.0,2.23,2.25,
ASBP,0.11188811188811182,1.59,152000.0,1.51,1.59,
XXRP,0.10284463894967172,5.04,1751000.0,5.02,5.04,
JSPR,0.09649122807017532,1.25,335800.0,1.25,1.26,
XRPT,0.10041841004184109,2.63,7828100.0,2.62,2.63,
CNVS,0.10400000000000009,2.76,1270000.0,2.73,2.77,
ATYR,0.09598389081552745,0.9797,1397600.0,0.9776,0.9800,
UXRP,0.07061503416856504,4.70,501200.0,4.78,4.82,
GRCE,0.09418282548476449,3.95,298900.0,3.90,3.98,
FMST,0.10389610389610399,2.55,332800.0,2.51,2.55,
GERN,0.09393939393939395,1.81,12543800.00,1.80,1.81,
ZSL,0.08764940239043814,2.73,137161300.00,2.73,2.74,
FTEK,0.06349206349206354,1.34,200400.0,1.34,1.37,
DULL,0.10382513661202182,1.01,1093400.0,0.9800,0.9948,
NMRA,0.07656250000000003,3.45,1204700.0,3.46,3.48,
