Financial Instrument,Change %,Last,Volume,Bid,Ask,
SMJF,'-0.6816479400749064,1.70,5821400.0,1.64,1.74,
JDZG,'-0.6876640419947507,1.19,4332300.0,1.18,1.23,
RETO,'-0.3737373737373738,0.6200,402000.0,0.6200,0.6525,
CCHH,'-0.30553819227403434,0.5555,857800.0,0.5550,0.5764,
LVRO,'-0.2625766871165644,0.7212,128000.0,0.7122,0.7400,
OCUL,'-0.21677927927927934,6.96,39218300.00,6.95,6.96,
MYNZ,'-0.20824999999999996,0.6334,7653800.0,0.6309,0.6545,
POAS,'-0.20707547169811322,0.8405,2633400.0,0.8402,0.8404,
OEC,'-0.20393811533052042,5.66,1226600.0,5.68,5.70,
LAW,'-0.18059299191374661,3.04,566900.0,3.03,3.04,
WKSP,'-0.17515923566878974,1.30,390900.0,1.27,1.30,
AIRI,'-0.17554858934169282,2.63,578900.0,2.58,2.70,
BRLS,'-0.1635802469135803,1.35,265600.0,1.31,1.37,
ABP,'-0.12925170068027209,0.6400,343600.0,0.6110,0.6180,
ONEG,'-0.14137931034482762,2.49,528700.0,2.44,2.48,
VRAR,'-0.15803108808290156,0.6500,269300.0,0.6500,0.6799,
HUBC,'-0.1538461538461538,2.20,322200.0,2.12,2.22,
TRUG,'-0.15772277227722772,0.8507,179600.0,0.8500,0.8510,
OCCI,'-0.1565656565656566,3.34,1459000.0,3.34,3.35,
EPOW,'-0.17475728155339798,0.8500,185500.0,0.8500,0.8684,
CCIF,'-0.15206185567010305,3.29,363300.0,3.29,3.31,
GETY,'-0.14979999999999993,0.8502,1617200.0,0.8500,0.8502,
BGL,'-0.14828897338403044,2.24,269000.0,2.24,2.26,
HURA,'-0.15037593984962402,1.13,1546800.0,1.13,1.14,
JFBR,'-0.1439114391143912,4.64,149500.0,4.62,4.70,
CRSR,'-0.14285714285714282,5.82,4037900.0,5.81,5.82,
GEMI,'-0.14285714285714285,6.48,2100300.0,6.49,6.50,
RLYB,'-0.15145228215767642,4.09,150100.0,4.11,4.37,
GENVR,'-0.1348837209302325,1.86,127300.0,1.51,1.87,
CSAI,'-0.14459232458974028,0.6620,280400.0,0.6674,0.6824,
RAYA,'-0.1464871321533283,0.7860,193200.0,0.7800,0.8030,
RIME,'-0.1264367816091954,3.04,74084000.00,3.04,3.06,
NUAI,'-0.12601626016260165,4.30,2279500.0,4.29,4.31,
NEOV,'-0.12668463611859831,3.24,595700.0,3.20,3.22,
SLDB,'-0.124394184168013,5.42,1772100.0,5.41,5.44,
FBGL,'-0.12070796460176997,0.9936,1200200.0,0.9916,1.01,
NAMM,'-0.11406844106463887,2.33,1059600.0,2.30,2.34,
TMQ,'-0.11729857819905225,3.73,5261100.0,3.72,3.73,
OLOX,'-0.11170323928944617,0.8501,173600.0,0.8501,0.8787,
SATL,'-0.10828025477707001,2.80,3386900.0,2.80,2.81,
CGTL,'-0.10921501706484636,2.61,981300.0,2.48,2.66,
HXHX,'-0.0737833594976451,0.5900,695500.0,0.5678,0.5923,
NCI,'-0.09623430962343095,2.16,1589800.0,2.12,2.17,
AENT,'-0.11272727272727275,4.88,189100.0,4.86,4.93,
ANY,'-0.11851851851851862,1.19,148100.0,1.20,1.23,
MRAL,'-0.13377926421404693,2.59,579400.0,2.69,2.73,
LABX,'-0.09986859395532191,6.85,1814600.0,6.81,6.85,
XTLB,'-0.10253533767107924,0.8000,308600.0,0.7968,0.8232,
AEHL,'-0.12095639943741206,0.5000,119300.0,0.5090,0.5451,
QSU,'-0.12578616352201255,2.78,330600.0,2.84,2.88,
